bathrooms,ROOMS,bedrooms,Yr_changed,price,STYLE,KITCHENS,FIREPLACES,sqft_living,latitude,longitude,ocean_proximity
1,7,3,1987.0,655000.0,2 Story,1.0,2,1492,38.92013886,-77.03064759,1
2,9,5,1991.0,165000.0,2 Story,1.0,0,1495,38.92013908,-77.03051521,1
1,8,4,2007.0,665000.0,2 Story,1.0,1,1492,38.92016531,-77.03046126,1
4,6,4,2003.0,215000.0,2 Story,2.0,2,2970,38.92010471,-77.03001934,1
1,8,5,2009.0,141000.0,2 Story,1.0,1,1125,38.91828731,-77.03093646,1
1,5,3,2004.0,825000.0,2 Story,1.0,2,1125,38.91828342,-77.03098996,1
1,6,3,1996.0,700000.0,2 Story,1.0,0,1125,38.91827709,-77.03109466,1
1,5,2,2009.0,870000.0,2 Story,1.0,0,1125,38.91827662,-77.03114759,1
1,9,4,1975.0,325000.0,2 Story,1.0,1,1478,38.91615647,-77.03685568,1
3,8,3,2004.0,1050000.0,4 Story,1.0,5,1692,38.91609872,-77.03687064,1
4,9,4,2010.0,375500.0,3 Story,4.0,0,1860,38.91318539,-77.0381053,1
3,11,4,2006.0,1500000.0,3 Story,2.0,2,1860,38.91318506,-77.03803058,1
2,10,4,2000.0,1600000.0,3 Story,2.0,6,1860,38.91321111,-77.03795669,1
3,13,5,2013.0,1890000.0,3 Story,2.0,6,1860,38.91319134,-77.03781336,1
3,8,5,2016.0,2210555.0,3 Story,1.0,5,1860,38.91321051,-77.0375959,1
3,7,4,2008.0,1400000.0,3 Story,2.0,2,1860,38.91321116,-77.03752396,1
3,11,5,2006.0,393000.0,3 Story,2.0,0,1859,38.91319695,-77.03745269,1
4,11,6,2014.0,1395000.0,3 Story,2.0,0,1964,38.91388219,-77.03781165,1
3,8,5,2011.0,1715000.0,3 Story,1.0,2,1964,38.91389064,-77.0375943,1
3,13,6,1992.0,1875000.0,3 Story,2.0,0,1963,38.91388087,-77.03744844,1
3,8,5,2018.0,1278460.0,3 Story,3.0,0,1200,38.91389206,-77.03820818,1
2,7,2,2007.0,599100.0,3 Story,1.0,1,362,38.89974975,-77.05300714,1
4,9,6,2003.0,548000.0,2 Story,1.0,1,1600,38.90050551,-77.05311249,1
2,6,2,1960.0,606500.0,2 Story,1.0,1,1600,38.90050869,-77.0530416,1
2,4,2,1995.0,801000.0,2 Story,1.0,1,1127,38.90051703,-77.05292978,1
2,6,3,1997.0,852500.0,2 Story,1.0,1,1393,38.90051692,-77.05297923,1
3,5,3,2007.0,1275000.0,2 Story,1.0,1,997,38.90053454,-77.05164393,1
2,5,2,2003.0,1060000.0,2 Story,1.0,1,873,38.90048101,-77.05170141,1
3,6,3,2000.0,310000.0,2 Story,3.0,1,837,38.90038953,-77.0517968,1
2,5,2,2000.0,360000.0,2 Story,1.0,1,834,38.90038402,-77.05163298,1
1,5,2,1959.0,825000.0,2 Story,1.0,1,1726,38.90423501,-77.05119652,1
1,5,2,2009.0,875000.0,2 Story,1.0,1,1726,38.90428105,-77.05119148,1
3,7,3,2000.0,525000.0,3 Story,2.0,1,1128,38.90356573,-77.05090263,1
3,6,3,2000.0,780000.0,3 Story,1.0,1,987,38.90356206,-77.05084568,1
3,8,3,2000.0,965150.0,3 Story,2.0,1,1184,38.90356382,-77.05073085,1
3,9,3,2012.0,925000.0,3 Story,2.0,1,1157,38.90356511,-77.05067194,1
2,7,3,2008.0,625000.0,2 Story,1.0,0,1323,38.90810133,-77.04904466,1
